name	version	authors	repository	license	license_file	description
bit-set	0.5.3	Alexis Beingessner <a.beingessner@gmail.com>	https://github.com/contain-rs/bit-set	Apache-2.0 OR MIT		A set of bits
bit-vec	0.6.3	Alexis Beingessner <a.beingessner@gmail.com>	https://github.com/contain-rs/bit-vec	Apache-2.0 OR MIT		A vector of bits
bitflags	1.3.2	The Rust Project Developers	https://github.com/bitflags/bitflags	Apache-2.0 OR MIT		A macro to generate structures which behave like bitflags.
bitflags	2.13.0	The Rust Project Developers	https://github.com/bitflags/bitflags	Apache-2.0 OR MIT		A macro to generate structures which behave like bitflags.
block-buffer	0.10.4	RustCrypto Developers	https://github.com/RustCrypto/utils	Apache-2.0 OR MIT		Buffer type for block processing of data
bumpalo	3.20.3	Nick Fitzgerald <fitzgen@gmail.com>	https://github.com/fitzgen/bumpalo	Apache-2.0 OR MIT		A fast bump allocation arena for Rust.
by_address	1.2.1	Matt Brubeck <mbrubeck@limpet.net>	https://github.com/mbrubeck/by_address	Apache-2.0 OR MIT		Wrapper for comparing and hashing pointers by address
bytemuck	1.25.0	Lokathor <zefria@gmail.com>	https://github.com/Lokathor/bytemuck	Apache-2.0 OR MIT OR Zlib		A crate for mucking around with piles of bytes.
castaway	0.2.4	Stephen M. Coakley <me@stephencoakley.com>	https://github.com/sagebind/castaway	MIT		Safe, zero-cost downcasting for limited compile-time specialization.
cfg-if	1.0.4	Alex Crichton <alex@alexcrichton.com>	https://github.com/rust-lang/cfg-if	Apache-2.0 OR MIT		A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted.
cfg_aliases	0.2.1	Zicklag <zicklag@katharostech.com>	https://github.com/katharostech/cfg_aliases	MIT		A tiny utility to help save you a lot of effort with long winded `#[cfg()]` checks.
compact_str	0.9.1	Parker Timmerman <parker@parkertimmerman.com>	https://github.com/ParkMyCar/compact_str	MIT		A memory efficient string type that transparently stores strings on the stack, when possible
convert_case	0.10.0	rutrum <dave@rutrum.net>	https://github.com/rutrum/convert-case	MIT		Convert strings into any case
core-foundation	0.9.4	The Servo Project Developers	https://github.com/servo/core-foundation-rs	Apache-2.0 OR MIT		Bindings to Core Foundation for macOS
core-foundation-sys	0.8.7	The Servo Project Developers	https://github.com/servo/core-foundation-rs	Apache-2.0 OR MIT		Bindings to Core Foundation for macOS
coremidi	0.6.0	Christian Perez-Llamas	https://github.com/chris-zen/coremidi	MIT		CoreMIDI library for Rust
coremidi-sys	3.2.0	Jonas Klesy|Patrick Reisert|Renaud Denis <mail@renauddenis.com>	https://github.com/jonas-k/coremidi-sys	MIT		Low-level FFI bindings for the CoreMIDI framework
cpufeatures	0.2.17	RustCrypto Developers	https://github.com/RustCrypto/utils	Apache-2.0 OR MIT		Lightweight runtime CPU feature detection for aarch64, loongarch64, and x86/x86_64 targets,  with no_std support and support for mobile targets including Android and iOS
critical-section	1.2.0		https://github.com/rust-embedded/critical-section	Apache-2.0 OR MIT		Cross-platform critical section
crossterm	0.29.0	T. Post	https://github.com/crossterm-rs/crossterm	MIT		A crossplatform terminal library for manipulating terminals.
crossterm_winapi	0.9.1	T. Post	https://github.com/crossterm-rs/crossterm-winapi	MIT		WinAPI wrapper that provides some basic simple abstractions around common WinAPI calls
crypto-common	0.1.7	RustCrypto Developers	https://github.com/RustCrypto/traits	Apache-2.0 OR MIT		Common cryptographic traits
csscolorparser	0.6.2	Nor Khasyatillah <mazznoer@ymail.com>	https://github.com/mazznoer/csscolorparser-rs	Apache-2.0 OR MIT		CSS color parser library
darling	0.23.0	Ted Driggs <ted.driggs@outlook.com>	https://github.com/TedDriggs/darling	MIT		A proc-macro library for reading attributes into structs when implementing custom derives.
darling_core	0.23.0	Ted Driggs <ted.driggs@outlook.com>	https://github.com/TedDriggs/darling	MIT		Helper crate for proc-macro library for reading attributes into structs when implementing custom derives. Use https://crates.io/crates/darling in your code.
darling_macro	0.23.0	Ted Driggs <ted.driggs@outlook.com>	https://github.com/TedDriggs/darling	MIT		Internal support for a proc-macro library for reading attributes into structs when implementing custom derives. Use https://crates.io/crates/darling in your code.
deltae	0.3.2	Ryan O'Beirne <ryanobeirne@ryanobeirne.com>	https://gitlab.com/ryanobeirne/deltae.git	MIT		Calculate Delta E between two colors in CIE Lab space.
deranged	0.5.8	Jacob Pratt <jacob@jhpratt.dev>	https://github.com/jhpratt/deranged	Apache-2.0 OR MIT		Ranged integers
derive_more	2.1.1	Jelte Fennema <github-tech@jeltef.nl>	https://github.com/JelteF/derive_more	MIT		Adds #[derive(x)] macros for more traits
derive_more-impl	2.1.1	Jelte Fennema <github-tech@jeltef.nl>	https://github.com/JelteF/derive_more	MIT		Internal implementation of `derive_more` crate
digest	0.10.7	RustCrypto Developers	https://github.com/RustCrypto/traits	Apache-2.0 OR MIT		Traits for cryptographic hash functions and message authentication codes
document-features	0.2.12	Slint Developers <info@slint.dev>	https://github.com/slint-ui/document-features	Apache-2.0 OR MIT		Extract documentation for the feature flags from comments in Cargo.toml
either	1.16.0		https://github.com/rayon-rs/either	Apache-2.0 OR MIT		The enum `Either` with variants `Left` and `Right` is a general purpose sum type with two cases.
encoding_rs	0.8.35	Henri Sivonen <hsivonen@hsivonen.fi>	https://github.com/hsivonen/encoding_rs	(Apache-2.0 OR MIT) AND BSD-3-Clause		A Gecko-oriented implementation of the Encoding Standard
encoding_rs_io	0.1.7	Andrew Gallant <jamslam@gmail.com>	https://github.com/BurntSushi/encoding_rs_io	Apache-2.0 OR MIT		Streaming transcoding for encoding_rs
equivalent	1.0.2		https://github.com/indexmap-rs/equivalent	Apache-2.0 OR MIT		Traits for key comparison in maps.
errno	0.3.14	Chris Wong <lambda.fairy@gmail.com>|Dan Gohman <dev@sunfishcode.online>	https://github.com/lambda-fairy/rust-errno	Apache-2.0 OR MIT		Cross-platform interface to the `errno` variable.
euclid	0.22.14	The Servo Project Developers	https://github.com/servo/euclid	Apache-2.0 OR MIT		Geometry primitives
fancy-regex	0.11.0	Raph Levien <raph@google.com>|Robin Stocker <robin@nibor.org>	https://github.com/fancy-regex/fancy-regex	MIT		An implementation of regexes, supporting a relatively rich set of features, including backreferences and look-around.
fast-srgb8	1.0.0	Thom Chiovoloni <chiovolonit@gmail.com>	https://github.com/thomcc/fast-srgb8	Apache-2.0 OR CC0-1.0 OR MIT		Very fast conversions between linear float and 8-bit sRGB (with no_std support).
filedescriptor	0.8.3	Wez Furlong	https://github.com/wezterm/wezterm	MIT		More ergonomic wrappers around RawFd and RawHandle
finl_unicode	1.4.0		https://github.com/dahosek/finl_unicode	(Apache-2.0 OR MIT) AND Unicode-DFS-2016		Library for handling Unicode functionality for finl (categories and grapheme segmentation)
fixedbitset	0.4.2	bluss	https://github.com/petgraph/fixedbitset	Apache-2.0 OR MIT		FixedBitSet is a simple bitset collection
fnv	1.0.7	Alex Crichton <alex@alexcrichton.com>	https://github.com/servo/rust-fnv	Apache-2.0 OR MIT		Fowler–Noll–Vo hash function
foldhash	0.2.0	Orson Peters <orsonpeters@gmail.com>	https://github.com/orlp/foldhash	Zlib		A fast, non-cryptographic, minimally DoS-resistant hashing algorithm.
futures-core	0.3.32		https://github.com/rust-lang/futures-rs	Apache-2.0 OR MIT		The core traits and types in for the `futures` library.
futures-task	0.3.32		https://github.com/rust-lang/futures-rs	Apache-2.0 OR MIT		Tools for working with tasks.
futures-util	0.3.32		https://github.com/rust-lang/futures-rs	Apache-2.0 OR MIT		Common utilities and extension traits for the futures-rs library.
generic-array	0.14.7	Bartłomiej Kamiński <fizyk20@gmail.com>|Aaron Trent <novacrazy@gmail.com>	https://github.com/fizyk20/generic-array.git	MIT		Generic types implementing functionality of arrays
getrandom	0.3.4	The Rand Project Developers	https://github.com/rust-random/getrandom	Apache-2.0 OR MIT		A small cross-platform library for retrieving random data from system source
getrandom	0.4.3	The Rand Project Developers	https://github.com/rust-random/getrandom	Apache-2.0 OR MIT		A small cross-platform library for retrieving random data from system source
granit-parser	0.0.7	Ethiraric <ethiraric@gmail.com>|David Aguilar <davvid@gmail.com>|Yuheng Chen <yuhengchen@sensetime.com>|Bourumir Wyngs <bourumir-wyngs@gmail.com>	https://github.com/bourumir-wyngs/granit-parser	Apache-2.0 OR MIT		A YAML parser with comment and style support, written in pure Rust
hashbrown	0.16.1	Amanieu d'Antras <amanieu@gmail.com>	https://github.com/rust-lang/hashbrown	Apache-2.0 OR MIT		A Rust port of Google's SwissTable hash map
hashbrown	0.17.1		https://github.com/rust-lang/hashbrown	Apache-2.0 OR MIT		A Rust port of Google's SwissTable hash map
heck	0.5.0		https://github.com/withoutboats/heck	Apache-2.0 OR MIT		heck is a case conversion library.
hex	0.4.3	KokaKiwi <kokakiwi@kokakiwi.net>	https://github.com/KokaKiwi/rust-hex	Apache-2.0 OR MIT		Encoding and decoding data into/from hexadecimal representation.
ident_case	1.0.1	Ted Driggs <ted.driggs@outlook.com>	https://github.com/TedDriggs/ident_case	Apache-2.0 OR MIT		Utility for applying case rules to Rust identifiers.
indoc	2.0.7	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/indoc	Apache-2.0 OR MIT		Indented document literals
instability	0.3.12	Stephen M. Coakley <me@stephencoakley.com>|The Ratatui Developers	https://github.com/ratatui/instability	MIT		Rust API stability attributes for the rest of us. A fork of the `stability` crate.
itertools	0.14.0	bluss	https://github.com/rust-itertools/itertools	Apache-2.0 OR MIT		Extra iterator adaptors, iterator methods, free functions, and macros.
itoa	1.0.18	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/itoa	Apache-2.0 OR MIT		Fast integer primitive to string conversion
js-sys	0.3.102	The wasm-bindgen Developers	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys	Apache-2.0 OR MIT		Bindings for all JS global objects and functions in all JS environments like Node.js and browsers, built on `#[wasm_bindgen]` using the `wasm-bindgen` crate.
kasuari	0.4.12	Dylan Ede <dylanede@googlemail.com>|The Ratatui Developers	https://github.com/ratatui/kasuari	Apache-2.0 OR MIT		A rust layout solver for GUIs, based on the Cassowary algorithm. A fork of the unmaintained cassowary-rs crate with improvments and bug fixes. Kasuari is the indonesian name for the cassowary bird.
lab	0.11.0	Jesse Bees <jesse@toomanybees.com>	https://github.com/TooManyBees/lab	MIT		Tools for converting RGB colors to the CIE-L*a*b* color space, and comparing differences in color.
lazy_static	1.5.0	Marvin Löbel <loebel.marvin@gmail.com>	https://github.com/rust-lang-nursery/lazy-static.rs	Apache-2.0 OR MIT		A macro for declaring lazily evaluated statics in Rust.
libc	0.2.186	The Rust Project Developers	https://github.com/rust-lang/libc	Apache-2.0 OR MIT		Raw FFI bindings to platform libraries like libc.
libm	0.2.16	Alex Crichton <alex@alexcrichton.com>|Amanieu d'Antras <amanieu@gmail.com>|Jorge Aparicio <japaricious@gmail.com>|Trevor Gross <tg@trevorgross.com>	https://github.com/rust-lang/compiler-builtins	MIT		libm in pure Rust
line-clipping	0.3.7	Josh McKinney	https://github.com/ratatui/line-clipping	Apache-2.0 OR MIT		A simple crate implementing line clipping algorithms.
linux-raw-sys	0.12.1	Dan Gohman <dev@sunfishcode.online>	https://github.com/sunfishcode/linux-raw-sys	Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT		Generated bindings for Linux's userspace API
litrs	1.0.0	Lukas Kalbertodt <lukas.kalbertodt@gmail.com>	https://github.com/LukasKalbertodt/litrs	Apache-2.0 OR MIT		Parse and inspect Rust literals (i.e. tokens in the Rust programming language representing fixed values). Particularly useful for proc macros, but can also be used outside of a proc-macro context.
lock_api	0.4.14	Amanieu d'Antras <amanieu@gmail.com>	https://github.com/Amanieu/parking_lot	Apache-2.0 OR MIT		Wrappers to create fully-featured Mutex and RwLock types. Compatible with no_std.
log	0.4.32	The Rust Project Developers	https://github.com/rust-lang/log	Apache-2.0 OR MIT		A lightweight logging facade for Rust
lru	0.18.0	Jerome Froelich <jeromefroelic@hotmail.com>	https://github.com/jeromefroe/lru-rs.git	MIT		A LRU cache implementation
mac_address	1.1.8	rep-nop <repnop@outlook.com>	https://github.com/rep-nop/mac_address	Apache-2.0 OR MIT		Cross-platform retrieval of a network interface MAC address.
memchr	2.8.2	Andrew Gallant <jamslam@gmail.com>|bluss	https://github.com/BurntSushi/memchr	MIT OR Unlicense		Provides extremely fast (uses SIMD on x86_64, aarch64 and wasm32) routines for 1, 2 or 3 byte search and single substring search.
memmem	0.1.1	Joe Neeman <joeneeman@gmail.com>	http://github.com/jneem/memmem	Apache-2.0 OR MIT		Substring searching
memoffset	0.9.1	Gilad Naaman <gilad.naaman@gmail.com>	https://github.com/Gilnaa/memoffset	MIT		offset_of functionality for Rust structs.
midir	0.9.1	Patrick Reisert	https://github.com/Boddlnagg/midir	MIT		A cross-platform, realtime MIDI processing library, inspired by RtMidi.
minimal-lexical	0.2.1	Alex Huszagh <ahuszagh@gmail.com>	https://github.com/Alexhuszagh/minimal-lexical	Apache-2.0 OR MIT		Fast float parsing conversion routines.
mio	1.2.1	Carl Lerche <me@carllerche.com>|Thomas de Zeeuw <thomasdezeeuw@gmail.com>|Tokio Contributors <team@tokio.rs>	https://github.com/tokio-rs/mio	MIT		Lightweight non-blocking I/O.
nix	0.24.3	The nix-rust Project Developers	https://github.com/nix-rust/nix	MIT		Rust friendly bindings to *nix APIs
nix	0.29.0	The nix-rust Project Developers	https://github.com/nix-rust/nix	MIT		Rust friendly bindings to *nix APIs
nohash-hasher	0.2.0	Parity Technologies <admin@parity.io>	https://github.com/paritytech/nohash-hasher	Apache-2.0 OR MIT		An implementation of `std::hash::Hasher` which does not hash at all.
nom	7.1.3	contact@geoffroycouprie.com	https://github.com/Geal/nom	MIT		A byte-oriented, zero-copy, parser combinators library
num-conv	0.2.2	Jacob Pratt <jacob@jhpratt.dev>	https://github.com/jhpratt/num-conv	Apache-2.0 OR MIT		`num_conv` is a crate to convert between integer types without using `as` casts. This provides better certainty when refactoring, makes the exact behavior of code more explicit, and allows using turbofish syntax.
num-derive	0.4.2	The Rust Project Developers	https://github.com/rust-num/num-derive	Apache-2.0 OR MIT		Numeric syntax extensions
num-traits	0.2.19	The Rust Project Developers	https://github.com/rust-num/num-traits	Apache-2.0 OR MIT		Numeric traits for generic mathematics
num_threads	0.1.7	Jacob Pratt <open-source@jhpratt.dev>	https://github.com/jhpratt/num_threads	Apache-2.0 OR MIT		A minimal library that determines the number of running threads for the current process.
once_cell	1.21.4	Aleksey Kladov <aleksey.kladov@gmail.com>	https://github.com/matklad/once_cell	Apache-2.0 OR MIT		Single assignment cells and lazy values.
ordered-float	4.6.0	Jonathan Reem <jonathan.reem@gmail.com>|Matt Brubeck <mbrubeck@limpet.net>	https://github.com/reem/rust-ordered-float	MIT		Wrappers for total ordering on floats
palette	0.7.6	Erik Hedvall <hello@erikhedvall.nu>	https://github.com/Ogeon/palette	Apache-2.0 OR MIT		Convert and manage colors with a focus on correctness, flexibility and ease of use.
palette_derive	0.7.6	Erik Hedvall <hello@erikhedvall.nu>	https://github.com/Ogeon/palette	Apache-2.0 OR MIT		Automatically implement traits from the palette crate.
parking_lot	0.12.5	Amanieu d'Antras <amanieu@gmail.com>	https://github.com/Amanieu/parking_lot	Apache-2.0 OR MIT		More compact and efficient implementations of the standard synchronization primitives.
parking_lot_core	0.9.12	Amanieu d'Antras <amanieu@gmail.com>	https://github.com/Amanieu/parking_lot	Apache-2.0 OR MIT		An advanced API for creating custom synchronization primitives.
pest	2.8.6	Dragoș Tiselice <dragostiselice@gmail.com>	https://github.com/pest-parser/pest	Apache-2.0 OR MIT		The Elegant Parser
pest_derive	2.8.6	Dragoș Tiselice <dragostiselice@gmail.com>	https://github.com/pest-parser/pest	Apache-2.0 OR MIT		pest's derive macro
pest_generator	2.8.6	Dragoș Tiselice <dragostiselice@gmail.com>	https://github.com/pest-parser/pest	Apache-2.0 OR MIT		pest code generator
pest_meta	2.8.6	Dragoș Tiselice <dragostiselice@gmail.com>	https://github.com/pest-parser/pest	Apache-2.0 OR MIT		pest meta language parser and validator
phf	0.11.3	Steven Fackler <sfackler@gmail.com>	https://github.com/rust-phf/rust-phf	MIT		Runtime support for perfect hash function data structures
phf_codegen	0.11.3	Steven Fackler <sfackler@gmail.com>	https://github.com/rust-phf/rust-phf	MIT		Codegen library for PHF types
phf_generator	0.11.3	Steven Fackler <sfackler@gmail.com>	https://github.com/rust-phf/rust-phf	MIT		PHF generation logic
phf_macros	0.11.3	Steven Fackler <sfackler@gmail.com>	https://github.com/rust-phf/rust-phf	MIT		Macros to generate types in the phf crate
phf_shared	0.11.3	Steven Fackler <sfackler@gmail.com>	https://github.com/rust-phf/rust-phf	MIT		Support code shared by PHF libraries
pin-project-lite	0.2.17		https://github.com/taiki-e/pin-project-lite	Apache-2.0 OR MIT		A lightweight version of pin-project written with declarative macros.
pkg-config	0.3.33	Alex Crichton <alex@alexcrichton.com>	https://github.com/rust-lang/pkg-config-rs	Apache-2.0 OR MIT		A library to run the pkg-config system tool at build time in order to be used in Cargo build scripts.
portable-atomic	1.13.1		https://github.com/taiki-e/portable-atomic	Apache-2.0 OR MIT		Portable atomic types including support for 128-bit atomics, atomic float, etc.
powerfmt	0.2.0	Jacob Pratt <jacob@jhpratt.dev>	https://github.com/jhpratt/powerfmt	Apache-2.0 OR MIT		`powerfmt` is a library that provides utilities for formatting values. This crate makes it     significantly easier to support filling to a minimum width with alignment, avoid heap     allocation, and avoid repetitive calculations.
proc-macro2	1.0.106	David Tolnay <dtolnay@gmail.com>|Alex Crichton <alex@alexcrichton.com>	https://github.com/dtolnay/proc-macro2	Apache-2.0 OR MIT		A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries from the procedural macro use case.
quote	1.0.45	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/quote	Apache-2.0 OR MIT		Quasi-quoting macro quote!(...)
r-efi	5.3.0		https://github.com/r-efi/r-efi	Apache-2.0 OR LGPL-2.1-or-later OR MIT		UEFI Reference Specification Protocol Constants and Definitions
r-efi	6.0.0		https://github.com/r-efi/r-efi	Apache-2.0 OR LGPL-2.1-or-later OR MIT		UEFI Reference Specification Protocol Constants and Definitions
rand	0.8.6	The Rand Project Developers|The Rust Project Developers	https://github.com/rust-random/rand	Apache-2.0 OR MIT		Random number generators and other randomness functionality.
rand_core	0.6.4	The Rand Project Developers|The Rust Project Developers	https://github.com/rust-random/rand	Apache-2.0 OR MIT		Core random number generator traits and tools for implementation.
ratatui	0.30.2	Florian Dehau <work@fdehau.com>|The Ratatui Developers	https://github.com/ratatui/ratatui	MIT		A library that's all about cooking up terminal user interfaces
ratatui-core	0.1.2	Florian Dehau <work@fdehau.com>|The Ratatui Developers	https://github.com/ratatui/ratatui	MIT		Core types and traits for the Ratatui Terminal UI library.     Widget libraries should use this crate. Applications should use the main Ratatui crate.
ratatui-crossterm	0.1.2	Florian Dehau <work@fdehau.com>|The Ratatui Developers	https://github.com/ratatui/ratatui	MIT		Crossterm backend for the Ratatui Terminal UI library.
ratatui-macros	0.7.2	The Ratatui Developers	https://github.com/ratatui/ratatui	MIT		Macros for Ratatui
ratatui-termina	0.1.0	Florian Dehau <work@fdehau.com>|The Ratatui Developers	https://github.com/ratatui/ratatui	MIT		Termina backend for the Ratatui Terminal UI library.
ratatui-termwiz	0.1.2	Florian Dehau <work@fdehau.com>|The Ratatui Developers	https://github.com/ratatui/ratatui	MIT		Termwiz backend for the Ratatui Terminal UI library.
ratatui-textarea	0.9.2	rhysd <lin90162@yahoo.co.jp>|The Ratatui Developers	https://github.com/ratatui/ratatui-textarea	MIT		ratatui-textarea is a simple yet powerful text editor widget for ratatui. Multi-line text editor can be easily put as part of your TUI application.
ratatui-widgets	0.3.2	Florian Dehau <work@fdehau.com>|The Ratatui Developers	https://github.com/ratatui/ratatui	MIT		A collection of Ratatui widgets for building terminal user interfaces using Ratatui.
redox_syscall	0.5.18	Jeremy Soller <jackpot51@gmail.com>	https://gitlab.redox-os.org/redox-os/syscall	MIT		A Rust library to access raw Redox system calls
regex	1.12.4	The Rust Project Developers|Andrew Gallant <jamslam@gmail.com>	https://github.com/rust-lang/regex	Apache-2.0 OR MIT		An implementation of regular expressions for Rust. This implementation uses finite automata and guarantees linear time matching on all inputs.
regex-automata	0.4.14	The Rust Project Developers|Andrew Gallant <jamslam@gmail.com>	https://github.com/rust-lang/regex	Apache-2.0 OR MIT		Automata construction and matching using regular expressions.
regex-syntax	0.8.11	The Rust Project Developers|Andrew Gallant <jamslam@gmail.com>	https://github.com/rust-lang/regex	Apache-2.0 OR MIT		A regular expression parser.
retune-for-all	0.1.0			MIT		A performance-oriented microtonal MIDI retuner that can send multi-timbral or MPE midi, supports scala scl/kbm file import, and reads & writes YAML presets.
rustc_version	0.4.1		https://github.com/djc/rustc-version-rs	Apache-2.0 OR MIT		A library for querying the version of a installed rustc compiler
rustix	1.1.4	Dan Gohman <dev@sunfishcode.online>|Jakub Konka <kubkon@jakubkonka.com>	https://github.com/bytecodealliance/rustix	Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT		Safe Rust bindings to POSIX/Unix/Linux/Winsock-like syscalls
rustversion	1.0.22	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/rustversion	Apache-2.0 OR MIT		Conditional compilation according to rustc compiler version
ryu	1.0.23	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/ryu	Apache-2.0 OR BSL-1.0		Fast floating point to string conversion
scopeguard	1.2.0	bluss	https://github.com/bluss/scopeguard	Apache-2.0 OR MIT		A RAII scope guard that will run a given closure when it goes out of scope, even if the code between panics (assuming unwinding panic).  Defines the macros `defer!`, `defer_on_unwind!`, `defer_on_success!` as shorthands for guards with one of the implemented strategies.
semver	1.0.28	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/semver	Apache-2.0 OR MIT		Parser and evaluator for Cargo's flavor of Semantic Versioning
serde	1.0.228	Erick Tryzelaar <erick.tryzelaar@gmail.com>|David Tolnay <dtolnay@gmail.com>	https://github.com/serde-rs/serde	Apache-2.0 OR MIT		A generic serialization/deserialization framework
serde-saphyr	0.0.29		https://github.com/bourumir-wyngs/serde-saphyr	Apache-2.0 OR MIT		YAML (de)serializer for Serde, emphasizing panic-free parsing, fast builds and good error reporting. Supports properties, comments, include
serde_core	1.0.228	Erick Tryzelaar <erick.tryzelaar@gmail.com>|David Tolnay <dtolnay@gmail.com>	https://github.com/serde-rs/serde	Apache-2.0 OR MIT		Serde traits only, with no support for derive -- use the `serde` crate instead
serde_derive	1.0.228	Erick Tryzelaar <erick.tryzelaar@gmail.com>|David Tolnay <dtolnay@gmail.com>	https://github.com/serde-rs/serde	Apache-2.0 OR MIT		Macros 1.1 implementation of #[derive(Serialize, Deserialize)]
sha2	0.10.9	RustCrypto Developers	https://github.com/RustCrypto/hashes	Apache-2.0 OR MIT		Pure Rust implementation of the SHA-2 hash function family including SHA-224, SHA-256, SHA-384, and SHA-512.
signal-hook	0.3.18	Michal 'vorner' Vaner <vorner@vorner.cz>|Thomas Himmelstoss <thimm@posteo.de>	https://github.com/vorner/signal-hook	Apache-2.0 OR MIT		Unix signal handling
signal-hook-mio	0.2.5	Michal 'vorner' Vaner <vorner@vorner.cz>|Thomas Himmelstoss <thimm@posteo.de>	https://github.com/vorner/signal-hook	Apache-2.0 OR MIT		MIO support for signal-hook
signal-hook-registry	1.4.8	Michal 'vorner' Vaner <vorner@vorner.cz>|Masaki Hara <ackie.h.gmai@gmail.com>	https://github.com/vorner/signal-hook	Apache-2.0 OR MIT		Backend crate for signal-hook
siphasher	1.0.3	Frank Denis <github@pureftpd.org>	https://github.com/jedisct1/rust-siphash	Apache-2.0 OR MIT		SipHash-2-4, SipHash-1-3 and 128-bit variants in pure Rust
slab	0.4.12	Carl Lerche <me@carllerche.com>	https://github.com/tokio-rs/slab	MIT		Pre-allocated storage for a uniform data type
smallvec	1.15.2	The Servo Project Developers	https://github.com/servo/rust-smallvec	Apache-2.0 OR MIT		'Small vector' optimization: store up to a small number of items on the stack
static_assertions	1.1.0	Nikolai Vazquez	https://github.com/nvzqz/static-assertions-rs	Apache-2.0 OR MIT		Compile-time assertions to ensure that invariants are met.
strsim	0.11.1	Danny Guo <danny@dannyguo.com>|maxbachmann <oss@maxbachmann.de>	https://github.com/rapidfuzz/strsim-rs	MIT		Implementations of string similarity metrics. Includes Hamming, Levenshtein, OSA, Damerau-Levenshtein, Jaro, Jaro-Winkler, and Sørensen-Dice.
strum	0.28.0	Peter Glotfelty <peter.glotfelty@microsoft.com>	https://github.com/Peternator7/strum	MIT		Helpful macros for working with enums and strings
strum_macros	0.28.0	Peter Glotfelty <peter.glotfelty@microsoft.com>	https://github.com/Peternator7/strum	MIT		Helpful macros for working with enums and strings
syn	1.0.109	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/syn	Apache-2.0 OR MIT		Parser for Rust source code
syn	2.0.117	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/syn	Apache-2.0 OR MIT		Parser for Rust source code
termina	0.3.3	Michael Davis <mcarsondavis@gmail.com>	https://github.com/helix-editor/termina	MIT OR MPL-2.0		A cross-platform VT manipulation library
terminfo	0.9.0	meh. <meh@schizofreni.co>	https://github.com/meh/rust-terminfo	WTFPL		Terminal information.
termios	0.3.3	David Cuddeback <david.cuddeback@gmail.com>	https://github.com/dcuddeback/termios-rs	MIT		Safe bindings for the termios library.
termwiz	0.23.3	Wez Furlong	https://github.com/wezterm/wezterm	MIT		Terminal Wizardry for Unix and Windows
thiserror	1.0.69	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/thiserror	Apache-2.0 OR MIT		derive(Error)
